owner,weekday,hour,minutes
1,0,6,50
1,0,7,50
1,0,11,50
1,0,12,50
1,0,13,50
1,0,14,50
1,0,15,50
1,0,16,50
1,0,17,50
1,0,18,50
1,0,19,50
1,0,20,50
1,0,21,50
1,0,22,50
1,0,23,50
1,1,6,50
1,1,7,50
1,1,11,50
1,1,12,50
1,1,13,50
1,1,14,50
1,1,15,50
1,1,16,50
1,1,17,50
1,1,18,50
1,1,19,50
1,1,20,50
1,1,21,50
1,1,22,50
1,1,23,50
1,2,6,50
1,2,7,50
1,2,11,50
1,2,12,50
1,2,13,50
1,2,14,50
1,2,15,50
1,2,16,50
1,2,17,50
1,2,18,50
1,2,19,50
1,2,20,50
1,2,21,50
1,2,22,50
1,2,23,50
1,3,6,50
1,3,7,50
1,3,11,50
1,3,12,50
1,3,13,50
1,3,14,50
1,3,15,50
1,3,16,50
1,3,17,50
1,3,18,50
1,3,19,50
1,3,20,50
1,3,21,50
1,3,22,50
1,3,23,50
1,4,6,50
1,4,7,50
1,4,11,50
1,4,12,50
1,4,13,50
1,4,14,50
1,4,15,50
1,4,16,50
1,4,17,50
1,4,18,50
1,4,19,50
1,4,20,50
1,4,21,50
1,4,22,50
1,4,23,50
1,5,6,50
1,5,7,50
1,5,11,50
1,5,12,50
1,5,13,50
1,5,14,50
1,5,15,50
1,5,16,50
1,5,17,50
1,5,18,50
1,5,19,50
1,5,20,50
1,5,21,50
1,5,22,50
1,5,23,50
1,6,6,50
1,6,7,50
1,6,11,60
1,6,12,50
1,6,13,50
1,6,14,50
1,6,15,50
1,6,16,50
1,6,17,50
1,6,18,50
1,6,19,50
1,6,20,50
1,6,21,60
1,6,22,50
1,6,23,50
2,0,6,50
2,0,7,50
2,0,11,50
2,0,12,50
2,0,13,50
2,0,14,50
2,0,15,50
2,0,16,50
2,0,17,50
2,0,18,50
2,0,19,50
2,0,20,50
2,0,21,50
2,0,22,50
2,0,23,50
2,1,6,50
2,1,7,50
2,1,11,50
2,1,12,50
2,1,13,50
2,1,14,50
2,1,15,50
2,1,16,50
2,1,17,50
2,1,18,50
2,1,19,50
2,1,20,50
2,1,21,50
2,1,22,50
2,1,23,50
2,2,6,50
2,2,7,50
2,2,11,50
2,2,12,50
2,2,13,50
2,2,14,50
2,2,15,50
2,2,16,50
2,2,17,50
2,2,18,50
2,2,19,50
2,2,20,50
2,2,21,50
2,2,22,50
2,2,23,50
2,3,6,50
2,3,7,50
2,3,11,50
2,3,12,50
2,3,13,50
2,3,14,50
2,3,15,50
2,3,16,50
2,3,17,50
2,3,18,50
2,3,19,50
2,3,20,50
2,3,21,50
2,3,22,50
2,3,23,50
2,4,6,50
2,4,7,50
2,4,11,50
2,4,12,50
2,4,13,50
2,4,14,50
2,4,15,50
2,4,16,50
2,4,17,50
2,4,18,50
2,4,19,50
2,4,20,50
2,4,21,50
2,4,22,50
2,4,23,50
2,5,6,50
2,5,7,50
2,5,11,50
2,5,12,50
2,5,13,50
2,5,14,50
2,5,15,50
2,5,16,50
2,5,17,50
2,5,18,50
2,5,19,50
2,5,20,50
2,5,21,50
2,5,22,50
2,5,23,50
2,6,6,50
2,6,7,50
2,6,11,60
2,6,12,50
2,6,13,50
2,6,14,50
2,6,15,50
2,6,16,50
2,6,17,50
2,6,18,50
2,6,19,50
2,6,20,50
2,6,21,60
2,6,22,50
2,6,23,50
